sweep,value,value2,episodes,success_rate,contact_rate,swept_p50_mm,swept_p95_mm,lateral_p95_mm,yaw_p95_deg,mean_retries,median_time_s
drift,0.5,,150,1.0,1.0,4.49,12.46,7.6,2.27,0.0,23.36
drift,1.0,,150,1.0,1.0,6.32,16.36,10.89,2.8,0.007,23.38
drift,2.0,,150,0.94,1.0,10.08,27.03,18.9,4.1,0.18,23.64
drift,3.0,,150,0.7733,1.0,15.1,43.91,30.57,6.39,0.58,24.46
drift,4.0,,150,0.6267,0.9733,19.54,59.62,41.15,8.95,0.853,25.24
drift,5.0,,150,0.5267,0.8867,22.35,68.21,46.32,10.38,0.973,26.04
drift,6.0,,150,0.4667,0.78,20.22,68.5,47.3,10.4,1.12,26.5
blind,0.15,,150,1.0,1.0,3.84,9.19,5.56,1.78,0.0,22.9
blind,0.25,,150,1.0,1.0,4.21,14.46,9.01,2.6,0.0,23.16
blind,0.35,,150,0.9933,1.0,7.34,19.19,13.57,2.98,0.053,23.56
blind,0.5,,150,0.9,1.0,11.93,34.35,24.81,4.22,0.3,24.84
blind,0.65,,150,0.6867,1.0,18.34,53.44,40.88,5.65,0.733,26.76
blind,0.8,,150,0.5667,0.9933,21.92,71.65,58.19,6.78,0.993,28.92
blind,0.95,,150,0.4933,0.9667,24.8,89.74,74.2,7.62,1.193,32.02
misalignment,0.25,,150,1.0,1.0,7.34,17.11,11.0,2.9,0.0,21.38
misalignment,0.5,,150,1.0,1.0,6.27,17.81,11.52,2.97,0.0,21.98
misalignment,1.0,,150,1.0,1.0,6.32,16.36,10.89,2.8,0.007,23.38
misalignment,1.5,,150,1.0,1.0,6.31,17.7,11.55,2.88,0.007,24.46
misalignment,2.0,,150,1.0,1.0,6.35,17.83,11.92,2.96,0.0,25.86
misalignment,2.5,,150,0.9933,0.9933,6.54,17.49,11.73,2.92,0.007,26.84
misalignment,3.0,,150,0.94,0.94,5.47,19.71,12.9,3.29,0.0,27.4
drift_x_blind,1.0,0.2,100,1.0,1.0,4.27,10.43,6.3,2.15,0.0,22.96
drift_x_blind,1.0,0.35,100,0.99,1.0,7.62,18.5,13.45,2.81,0.03,23.36
drift_x_blind,1.0,0.5,100,0.9,1.0,10.77,30.54,23.09,3.74,0.32,25.06
drift_x_blind,1.0,0.65,100,0.75,1.0,18.39,52.34,40.97,5.73,0.63,27.52
drift_x_blind,1.0,0.8,100,0.61,1.0,21.29,71.31,57.31,6.77,0.93,29.84
drift_x_blind,2.0,0.2,100,0.99,1.0,6.09,16.45,11.38,3.15,0.02,23.12
drift_x_blind,2.0,0.35,100,0.85,1.0,11.69,41.53,29.07,6.15,0.39,23.84
drift_x_blind,2.0,0.5,100,0.62,1.0,19.67,68.0,51.47,8.63,0.9,25.82
drift_x_blind,2.0,0.65,100,0.44,0.96,32.89,100.91,77.33,10.97,1.26,28.86
drift_x_blind,2.0,0.8,100,0.33,0.82,39.2,102.33,80.73,9.72,1.42,31.24
drift_x_blind,3.0,0.2,100,0.94,0.99,7.85,23.8,16.75,3.98,0.16,23.26
drift_x_blind,3.0,0.35,100,0.71,1.0,17.92,60.92,41.5,9.26,0.66,24.48
drift_x_blind,3.0,0.5,100,0.43,0.98,33.81,93.34,69.54,11.74,1.22,25.88
drift_x_blind,3.0,0.65,100,0.28,0.82,40.77,101.49,77.46,11.23,1.48,27.32
drift_x_blind,3.0,0.8,100,0.22,0.67,51.42,106.18,84.7,10.4,1.59,28.3
drift_x_blind,4.0,0.2,100,0.82,0.94,10.67,30.78,21.61,4.68,0.39,23.76
drift_x_blind,4.0,0.35,100,0.54,0.97,23.25,77.18,54.1,11.09,1.02,24.82
drift_x_blind,4.0,0.5,100,0.32,0.87,36.22,107.41,79.37,13.65,1.43,28.82
drift_x_blind,4.0,0.65,100,0.22,0.71,50.72,111.6,85.34,12.23,1.61,27.88
drift_x_blind,4.0,0.8,100,0.16,0.52,57.75,107.2,84.69,10.53,1.71,29.5
drift_x_blind,5.0,0.2,100,0.75,0.84,11.4,34.33,23.22,5.57,0.55,24.8
drift_x_blind,5.0,0.35,100,0.47,0.88,24.12,84.46,59.29,12.13,1.15,25.2
drift_x_blind,5.0,0.5,100,0.25,0.78,47.14,109.28,80.59,13.73,1.53,28.64
drift_x_blind,5.0,0.65,100,0.17,0.59,55.62,105.81,82.26,11.48,1.68,31.52
drift_x_blind,5.0,0.8,100,0.12,0.39,43.35,108.11,85.93,10.21,1.75,33.46
